text,emotion
new blog post blog auto insuran found auto insurance policy expired careless meanw,worry
bestfriends mia wat,neutral
oh meni really cant see facecmon guys,worry
im showing age renewed tags last week went got insurance renewal email today went dont wanna old,worry
sole supporter sole supporter,worry
dont hate finish work theres still hours left work time,hate
urgh stop guys,worry
still missing husband really want home,sadness
miss puppy,sadness
days month left mb left onpeak downloads,surprise
didnt get memo looks amazing,fun
ive given pizza kids would never let fav hot ones,sadness
reading tabloids peoples livesthinking im gonna mine baby leaves,worry
yearling pet home died sad whole family,sadness
fun sun hmmm hell cold,neutral
got giant splinter stuck underneath finger nail today muppetsit hurt got go first aid first time,worry
hate change course fans life oh havent met rob something went horribly wrong,sadness
feeling sad reason,worry
well fuck new pain med odd warning actually applies cant take chan displeased,sadness
uploaded new blog painful story year old man cried wanted die sad,sadness
dont think want details,neutral
hi mary poppins,neutral
addicting kind curse night time everytime one feel like making music afterwards,worry
last tweet didnt send bad phone,neutral
omg ur alive lol day gone sooo slow im going insane grrr anything tonight,fun
headache im going bed goodnight,empty
watching parental control,neutral
get california vintage ahahah best dresses want dont ebay,fun
saw pics past thanksgiving sad grandma,sadness
wont let,worry
took shift tomorrow dont really feel like working right,sadness
money phone,sadness
spent last night ae er wife tangled wheels daughter hit deck dislocation fracture resulted,worry
days im ready visit torchwood see theyve heard anything,worry
bris cant hear thunder,surprise
bec vs fat food winner fat food weeknend ill beat,surprise
bad red devils disappointing say least,sadness
dream pretty pretty beach beach woke,surprise
ware se fast enough x xm ssd raid mhz iop hpt might try adaptec ghz,sadness
da heck garage man get ask,surprise
ate mandy please forgive really sorry dont wanna lose bff,worry
umm yeah thats probably pretty good note self eeeeee,hate
plane tickets expensive,worry
umm yeah thats probably pretty good note self eeeeee,fun
needs job badly,worry
daaammmnnnnn wish,sadness
went di bella coffee roasters today asked job person needed speak holiday,worry
played latter parts voodoo village part coop lost usual partner,sadness
nite im n bored opposed almost sleep frm b,empty
bad friend,sadness
happy birthdayyy hope awesome day didnt see next last night,neutral
im shit right im vacation got workin,hate
ill oir,neutral
guess go girlie im still gym work,neutral
would wish severe migrains would stop docs prescriptions arent working,hate
missed game,love
internet last night er brill massive explosion end nearby gas works er standby,sadness
cuz airlines super lame,hate
still pity comes lamb though,sadness
im sorry hear optimist things get better us,sadness
done painting bedroom furniture still table wait move uggh moving heat,relief
im tiredand insomnia,hate
hungry fool ill probably never see krispy kreme enjoy closing,neutral
airport didnt show tonight homo,neutral
hate bakersfield hate ports let go home already want start vacation,hate
looking desktop twitter app actually let access urls suggestions liked twittle linking,neutral
people house know close doors,worry
completing facebook quizzes time morning especially friday morning,surprise
soooo hungry,neutral
dont like possibility left side brain hurting thing called vp shunt possible death,worry
cancel wow,sadness
wants make music profile dont money dont know write music dont know play instrument studio,worry
yeahim sad ravenclaw account love account bits,sadness
hear helicopter flying house thats kind weird news headache back booooo,worry
oh always,worry
back school ms suhanas last day ft ocu okay im playing altnoy,neutral
poll trying get work powerpoint avail,neutral
took math test today day test teacher says bring calculator luke confident teacher decided calcs,joy
omg concert awesome madrigals gave chills almost every piecebrooks also called alumni didnt get go,joy
yeah terrible cockatoos hardest live emotional good thing found though,neutral
late nothin,sadness
think vog making sicker think feeling slightly achy,worry
watching harpers island lol vodka involved,empty
homework sux big time maths worst,worry
would better imo let play songs provided start get blacks,neutral
never started,neutral
sometimes wish things could go back way beginning last summer,sadness
downloaded new twitterfon update thinking fixing typing problem new tweets didnt,worry
trudys burnetthe one north one goes,empty
feel way guess matter always memes,sadness
cant minutes treadmill done minutes today already gonna minutes,joy
im sooooooooooooo confused,worry
friends like vaikonedumaran ltte didnt need enemies wrong advice wrong time led numerous deaths lost cause well,neutral
work day,worry
chillin roomies cant wait zombie clwn cr gonna weeks,joy
looove guitars playing think sound magnificent better,neutral
refunds retrieve accounts takes like week hoping thief doesnt use hacks permaban,worry
im cries lol,neutral
cute malay girl came seemy room rent sadly think guyfreind bit misleading disappointing lol,sadness
epicentre wheelock place units tourists starting today,surprise
hate new mt dew commercialthe one giant mosquitoit scares grosses time,hate
come knight well hours,neutral
super keen drive home rain additional concentration required dont really wanna deal,worry
aw u cant let secret,surprise
im sorry dont think stick least compared used look like,surprise
transport church wont making im crushed oh well time assignments suppose throat really hurts,worry
hate see pregnant women smokinggg sooo irresponsible n selfish saaad ultimately baby one suffers,hate
liesliesliesyou cant avoid lie practicallyeverything,hate
twittascope rocking socks go away already,neutral
driving back home forgot piece cake,neutral
tried jumping without trampoline like thud thud shouldnt eaten cookie,worry
everytime send email coach feel need practice shitty balls lol,sadness
pissing letting follow ericka,sadness
going sleep peaceful wanted hear say good night didnt happen good night everyone,sadness
mums trying make feel ebtter stopping voting adn winning shortstack almost cried,sadness
close tacosone spot late,neutral
umm bout emaint get see da game see dey survived anotha game da series due notin lebron im guessin,empty
thinking much im work,surprise
forgot live jonas brothers facebook,worry
havent seen muffin two whole days,sadness
ill miss yall back give regards,sadness
gap year going quick,surprise
admit im bit bummed wasnt friends walking today,worry
girl blunt soooooooo thoughts right absolutly great day stressorscome home,neutral
twitter hacked,worry
found mj mouse flats djs course none left size,sadness
wont time buy need new binder pa,neutral
hahaha well try ugly,hate
man ulduar hard,neutral
dont even want know know vhemt dont go wed miss,worry
thats awesome weekend cant go im moving sat lot fun though,fun
night night twitter world still cant believe thomas thing tomorrows gunna funsad,neutral
happening,neutral
oh hugs,surprise
bored talking someone theyre busy something else kinda bummer idk,neutral
knoww things wont samee,sadness
omgness pm need beup early set garage sale starts wish said im beat,worry
kno doooo yall partyin,joy
okay twitter suddenly changed respond messages,worry
ugh dad told read article kavya shivashankar spellin bee girland like,neutral
decided matter good hair looks curly doesnt justify burn get curler hands covered suck,worry
going sleep gonna fall asleep playing apps tmrw going suck,sadness
yea gotta,neutral
hate bf beats da dogs guess way teach pitts,hate
sprained ankle like really badly tore stuffs hurts birthday weekend,worry
cant believe metal gear solid song stolen im disappointed,sadness
think may broke toe bar tonightthanks drunk girl steppin,hate
one sale done today work explored balconies big theater w coworkers fun day void chili fries tips,neutral
wish left dead first id need something play,sadness
story reminds living portugal,neutral
youre diabetic dad might sure still allowed eat sugar throughout day,neutral
spilled beer leg wasted half beer home met cute girl good conversation,joy
roommate loves ignore,hate
ill make nachos tomorrow better would made,neutral
yeahhh dont judge pillow,neutral
scary lightning thunder im glad going sleep hope im late school tomorow haha,relief
teeth head hurts,sadness
hate rob zombie movies smell weed vommmm,sadness
maths science strongest thinkdunno bout geography like day study year work,hate
waiting line tryst,boredom
hope get job cuz need apartment im drunk miss lil punkin tehe,worry
got home wanting read last chaper breaking dawn cause dont want beover,worry
need held gnite,worry
hanging sam billy veronica going school tomorrow take sam body shops dang car accidents,worry
arrested development sad,sadness
wicked time leaving come cant stay night,neutral
omg keep losing followers sad want one daythats goal,sadness
feel deflated doggy,sadness
wanna see hair hows everyone,worry
empty trash mac one difficult things ever done life pictures gone,sadness
im contacting paws philippines find tiger new owner im sad love dog soo much,sadness
got home wanting read last chaper breaking dawn cause dont want,sadness
aww pray arroyo family everyone,worry
theres manual process taking ever outlook database pffff crappy msft product,neutral
fuuudge movie store closed,sadness
alo sad quiet empty tonight,sadness
hahahaha horrible others singing im sure could work wish could afford drum set,hate
never answered dm sent need info,worry
trying get pilot first season friday night lights oh gosh pass tissue,worry
aw headed cancelled trip aussie,sadness
cystic lacrimal infectection eye face swollen hurts,worry
didnt think anyone caught,worry
need sleeping im even tired,empty
oh nevermind think thing unsalvageable,neutral
lyin bed faaaaar early,neutral
sad christian lacroix file bankruptcy,sadness
dont feel good fuckkk,sadness
agree work double shift,boredom
looks like ill never go zoo,worry
ohh poor girl ill email relying october mr,worry
medhurst play,neutral
bad times,worry
aarrgghh fuka hose leaked water new floating floor,hate
go dreaded dmv tomorrow,sadness
im bit bens thaied,neutral
english class working interactive orals,joy
thank rec doesnt work,worry
im sorry excited tomorrow night karaoke getting anything special bday,neutral
puppy gizmo hs haha still growls always look back long pruple scar fingie,worry
dont know ima work tomorrow wit body dis sore ugh,worry
wo,neutral
yeah plus little far walk pinocchios sushi,neutral
im feeling pressure head always kicks nasty headache im looking forward,worry
taylor swift joe jonas looked really good together im kinda sad broke,sadness
im suppose turn sentence outline research paper within hour online neck hurts,worry
lady across way miscarriage say prayer,worry
god want sleep,sadness
ohhhh thunderstormsboo always make power go,hate
feel deflated doggy,worry
found book starting real paperbound journal tonight annoying zit lip makes look like herpes,sadness
ratt rocked nashville toniteone thing sucked encore like still fun show pearcy hott bad boy look,hate
feeling bad got bad news mum,worry
dun wanna,sadness
damn girl im ya gotta let know get kit together got flyer next weekend im,sadness
dbl booooooo sick flippin blows bahaha kno dont many friends either feel lame haha,sadness
thats thinking time gonna,neutral
peeps still fun times gotta sleep tho work cool hot chicks none cool missing,neutral
dont feel like working think tweet often,worry
feels sick stomach idkk whyy,sadness
vinerinimic special sau probabil un alt weekend pierdut,worry
counting hours lost sunshine weekend,neutral
dude saw sf pics looks like mini excursion pretty kick ass didnt see sun tho,surprise
home safely hungry,relief
um thrown van yesterday taken er,sadness
got final table butwent third dont think ill getting free seat,worry
good morning work morning gutted lol nevermind,neutral
work morning friends get party upstupid bberry lite flashing red messages,hate
fb boring wanna sing right,joy
link doesnt work,sadness
hahaha dont know anyone anything except powers lol live bubble,neutral
humpalow um ya think cell dying,worry
last day worksick bone,worry
feel like im house arrest,worry
love like wareasy begin hard endfiuuhh,neutral
ur supposed bk tho,surprise
know shortage shells crabs use beach due beach combers sad,worry
oh nighty night,surprise
must new music wont sleep give us chapter might die first though hurry,joy
stupid tooooth hurts,sadness
love song together thats song mewell think still,love
ready go school,neutral
computers broken broke laptop use phone ahh still cause fucked order,sadness
good isnt holiday chalet sight look v similar ones going home today,neutral
sad economy heard another friend losing job sad reminder,worry
im starting feel really panicky anxious something bad happened cos seems like ages,worry
dog ran awayyy,worry
suck bad,hate
im back top molar extracted swollen face numb toothache sinus pain,worry
finished hours texas life insurance ce tonight hours go,relief
anyone know good rap songs need make rapfun cd idea helllllpppp,worry
want go peru summer ahhhhhhh hopefully yesyesyes miss,love
happen maids quit,empty
im awake anybody else awake wish lived us since fun happens im asleep,sadness
charles power lol damn savemart lost power could buy beer,hate
heehee love tired,sadness
mobile phone refuses charge either battery broken chargerrr booooo,worry
oh wish would get sign something send let call meet something,worry
hmmm thought u sleeping bad cant see videos tomorrow night,worry
morning everyone sorry going early last night bad news felt totally crap today new day,sadness
went beach started raining,empty
wish parents put chinese school younger itll much easier get job,sadness
yeah physically moving apparently well reporting directly mr hayward,relief
airport didnt show tonight homo,neutral
jealous looks like schindlers list toronto,worry
want another tatt,enthusiasm
come erock left bah,neutral
need make lot money tomorrow,enthusiasm
room makes sad,sadness
nearly fell asleep jolted bed massive panic attack im sure sleep,worry
gays made tonight,neutral
oh fck completely forgot thirsty thursday oh gaga sucks,sadness
one people wrong world blames people great world living shit,sadness
nope sleeping cuz live east coast,surprise
bet cool sr huh havent stopped sweating since noon dad packing,neutral
eww dislike,sadness
tactical mistake going city library buying milk knew ouch ouch ouch maybe good thing didnt try uni,worry
decided trans frm relaxed natural hair wish whole head looked like roots age instant gratification,neutral
sorry bout cat,sadness
needs increase salary,neutral
stomach feels like touching groundim full,worry
pug woke incredible sleep,love
cant wait hear new album im sure amazingplease replay love much,love
sooo much work little time,worry
missed iron chef,sadness
ds version sucks,sadness
bad day,sadness
know ridiculous never got hang love chicago want go shopping trip sounds like fun,enthusiasm
hates net ayaw bumukas ng twitter,hate
ugh internet,worry
omg didnt tweet much today sadness,surprise
feeling giddy wanna go home,worry
week wasnt without adam lambert performance,neutral
link doesnt work,neutral
packing last day youth camp,worry
gossip girl coming back chaceeeeeee,neutral
smh hiphop nursery rhymes,neutral
somebody please save polar bears,worry
noooooooooooo look lot pictures lol lol,joy
really sleepy bored right word much work,surprise
come attention yo friend ive recently gained ton weight didnt know,worry
guess im staying home tonightno movieing,worry
went cd store search cd,sadness
reminds weather month ago horrible hope well hugs,worry
miss mom may angels lead,sadness
theres really android twitter app tweeties calibre,love
jacksonville beach walking cold ass water work morning ily,hate
feel way every day,sadness
cant sleep sucks one day sleep get go shopping mom ugh,sadness
well got home till tmw p comcast right didnt miss,neutral
sleppytime really missing godfather right love wayne,sadness
headache right sucks,sadness
hope ya sleepin well guys still,worry
finished im color drawing come,fun
lakers baby lakers ill miss game tmwr work youll keep posted please,sadness
comfort food day pan mee though didnt taste good,sadness
damn drunk hot sucks,worry
misses baby,sadness
sleeping paperwork,worry
showered icecold water sweating means one thing im sick,worry
midnight cry wish person wanted wanted right,worry
ima need follow real quick cause cant dm,neutral
im poorly cant sleep,sadness
went pole class feeling discouraged hopeless cones dancing sexy moves spreading legs,worry
poor unfortunate souls dont appear pants,worry
told often wash hair would never speak,worry
looks like another sleepless night dedicated homework sorry advance ms chapman,worry
u lot mock,worry
didnt say goodnight,worry
pussy damnit sending email right btw,hate
work tom,sadness
hongkong international airport wait hours next flight cebu,neutral
cant sleep nothings tv,neutral
pics uploaded baby pics cats missy adult pretty little kitty batty kitten heaven,love
oh youve superseeded good enough,neutral
today say goodbye second good friend week dmp least sun shinning im definately working pm,sadness
fuckinm transtelecom,anger
really really bored guess go bed,boredom
met stranger min ago stalking store,worry
tee beefinwhat u supposed leavin,surprise
sometimes things say hurt ones love unintentionally never ever take back fix,sadness
sucks,sadness
iiii know mean,neutral
fever dont feel work,sadness
taking horse pills hoping get sleep tonight,worry
pgpm student pgpm student years back wish could stay one,neutral
missing days cant pass quick enough,sadness
hey thats school hate place,hate
working home today back killing doctor physio later today,sadness
back work distractions,neutral
demi say hi enough replay please love much,joy
never noticed,neutral
sucks well state starts tomorrow im headin bed nitey nite,neutral
looks like going nice work today annoying choice,worry
guys keep set list forgot ask one xx,neutral
first impression silverlight sadly based saw today quite problematic,neutral
desperatly hoping dad takes vanessas game,worry
hi fuck job,worry
missing deeply,sadness
time go bed get go work,neutral
big vanessa going september going fast hard cuz im workin much miss alot,joy
sniff sniff take care ravels hopefully well chatting soon mean time ill hella miss,sadness
lucky want teleport,neutral
somebody please save polar bears,worry
nose runny head pounding teeth hurt like bitch man feel awful,worry
dont want leave,sadness
headin homerefreshed mind soul justa lil bitbac reality,relief
good lord seen agency work upcoming open day money jam,joy
wut,empty
working fridaaaayyyyy,anger
grove drag hell hope doesnt suck,worry
feel like shit saying happy belated birfdayy im month late,worry
lmaothats sad kinda discourages rom goin shits wack,sadness
got home work finished cleaning need eat dinner dont know want ughoh well might eat,surprise
wish,sadness
miss little batty months old got sick always fun full life even end,sadness
fc finally time hate keeps happening,neutral
seriously bored without anyone talk tired enough sleep,neutral
morning hate mornings offensive,sadness
still give computer break omg,neutral
bed bed bed never answer texts anymore thought day sent one never heard back sad day,sadness
u,neutral
waah longer peeps,sadness
lol wow dawg doesnt sound like youre playing feel bad haha,sadness
extremly deep,surprise
little foster kittens getting bigchubba winston going b missed get amazing homes,joy
one week till exam block,enthusiasm
im home cats right,neutral
hoping didnt fail english would sad,worry
know would great shoulder stop hurting sleep normal wantneed solid hours good sleep,worry
lenos last show tonight like better conan,neutral
im sorry bad driving experiences,sadness
dont,neutral
already misses,sadness
plan may changes nooooooo,hate
sister douchebag,hate
theres relisting fees dont complete sale sucks,surprise
random,neutral
knew shouldve worn sars mask plane socal feeling beginnings sore throat,worry
gutted bathroom still isnt free early work isnt going happen need loo,sadness
july long,neutral
awww wish could im stuck jab eyes knitting needles,worry
wonder mnet show,surprise
wearing glasses gives headache,neutral
stop talkin food haha fill like sum nw hha hows day goin starting,enthusiasm
finished sewing night uploading pictures slidebar beach cant believe difficulties twitter,worry
thank cant wait ummm btw ima crash still sick,sadness
first work computer home laptop fucked,sadness
guy calls phone see number real ohh phone isnt working try tomorrow,worry
thirsty lonely buggers making feel like scotty mates,worry
know came back st lose lead last minutes,worry
gosh summer vacation almost philippines kinda sad wonder section,worry
page ms twitterworld votes,neutral
im bummed cant wear sweet nike kicks work,worry
twitter broken,worry
sleepgood night tweeties oc tomorrow hope pray rachyl gets better soon,neutral
depressing im stuck inside day,sadness
even saw news feeds archie website cant believe hed choose veronica im disappointed,worry
hate sick miss,sadness
im eating sliders barjohnnys theyre pork tho beef still search,neutral
getting ready school second maths test today also last day rd year next week officially th year,joy
woke upi wanna stay bed,sadness
depressed wasnt included morcom gardens quiz facebook,worry
yeah still totally high soooo notlooking forward aug sept,worry
upsidedown tomato plants died,sadness
deep priecing soul,boredom
oh come get next week get next week full exams,worry
friday last much fun skint though,neutral
know dont tell anyone dont know dad told famz yet think im taking online,worry
caant iht earlier icant wait long ahar,sadness
friday yay bonus dont drive wales tonight athough miss kitten cuddles going ride,joy
children promised birthday brekkie bed theres problem theres bugger food house,worry
woops realized dms going,worry
dont think able get bed tomorrow morning seeeee,neutral
cant use blackberry today sucks,surprise
q studio created open season google look dvd downstairs feeling lazy,enthusiasm
times changing,neutral
hate,sadness
time tv bedthen spending day catching studying hate online summer classes,hate
video available us foreigners,neutral
wanted visit animals late,sadness
pc agree problem must stop spending work,worry
missed,sadness
dang really look like crap sigh mins shower mins get ready,hate
waiting get picked,neutral
exhaustedcant sleep dont like nights,sadness
im gonna miss live comet action tomorrow go take care cousins dont access interwebz,sadness
lol cant drink,surprise
bill compton wii cant twitter,surprise
sorry hear,sadness
morning sports day today threelegged race mr pettigrew said im aloud trip,worry
found cant drink bar booo missing e palominos cheers sad face,sadness
cannot sleep hours tossing turning,worry
omg going die swine flu go melbourne,worry
packing dont like,anger
dang certain okay,neutral
wishes dave gilmour roger waters would reunite pink floyd concert,neutral
finished whole box ice cream,sadness
horse town blown car speakers,neutral
someone make cofffeeeeeee,neutral
plus deposited tax return cheque first time years didnt clear immediately,worry
photo martwo omg love accadentally deleted photo yay hes beautiful,love
knooww hot water bottle iss whangamata without ahhhhh,worry
nose stuffy,neutral
last night newport,neutral
thanks rt sorry new place domestics,relief
ok shoe club cool fun poppin except ppl tryna dance wit,joy
holy crap raining la dont jacket oh,worry
aright twitter fam guess ima outties gonna try n sleep horrible pain,neutral
baby recieving vaccines,neutral
wish could attend e year small events like nba stanley cup finals keep getting way work work work,worry
lol hi emmy latin would help study aptitude tests get grad school thats wanna take,joy
btw wimp,sadness
lol yeah yeah big perv hoping see next week scrapped plans,relief
rejecting food substances,worry
trying interview dr paul twomey ceo icann phone issues cut interview mins,worry
cant add myspace girly asks last name email,sadness
back vienna sooo tired luggage lost manchester great good outcome seminar mbs great people around,hate
dont think take needle watched horribly gory short film drugs months ago im scarred life,worry
dont wanna go back work sleepy time,sadness
feels good,worry
watching biggest loser hallmark never fails make cry nyeh,neutral
sucks old actually,neutral
thinking getting work,worry
still confuse,neutral
naughty girl tonight dissappointed,worry
thats better missy telling biggest loser,worry
noooo goes orlando omg im gonna cry,sadness
aaaaaahhhhhhhh soooooooo sweeeeeeet miss age soooo much,surprise
saw fox getting freeway hope goes home,surprise
scratch sleep stage bound,neutral
recapping britains got talent britain seems talented america,surprise
cnt get goin ur old messages help,neutral
good time rocking open mic thanks love n support working business plan presentation cg nite,love
swimming go,neutral
morning john yes however diary clash sadly cant attend,sadness
miss friend,sadness
ohh ic ic haha iyaa summer filled one course lasts whole summer,neutral
yea saw really sad commercial,sadness
hmmm using tinytwitter small nontouch screen really much fun,sadness
lettuce spinach best cool weather live floridanot much luck growing,fun
oh love em think kind preservatives theyre using stay justbaked kinda makes sick,love
unfortunately,neutral
new lens isnt working worked bit gives fee error,worry
hates sleep alone,sadness
needs new phone,empty
back school almost weekend oh wait gotta work eight four tonight,worry
loved johnny carson im going hate seeing jay leno go,sadness
even though everyone wanted newish song teacher agreed old grumpy doesnt like us happy haha,sadness
english essay rjwtf done long time ago assigned last thursday,worry
think much,worry
ya suffering whole day yesterday met dentist feel bit better still look like rocky balboa though,sadness
didnt end really eating snacks sigh,worry
finallythe internet server phoenix fucked,surprise
ups ketauan cabut nih gimana dong,neutral
sorry guys drop trip personal commitments,worry
didnt get callback play cried oh well guess back techie,sadness
awesome wish could fly see,joy
kinda wish went cant fall asleep,sadness
nope het lostfound,relief
rocky cola diner whittier tonight teacher pal mr b great time chatting one else came,worry
bed still exhausted vegas,neutral
lol true maybe next year loooved siggy dont remember password mod thing cake,love
ummm sooo yehits really hard concentrate rite wen weird feeling goin thro body,worry
ouch looks painful,worry
took hour nap work today wont able sleep night bummer,neutral
know enjoy watching two twitter entertaining comic miss,fun
loving lil ken absolutely dreading saying goodbye less week,neutral
yet sorry,sadness
want sit back relax little difficult,worry
thought best friend,worry
hii thatsï¿½mee woke going school,neutral
fall asleep know feels lol drag hell tonight quite excited,sadness
god cant even catch public transport swine flu shit house,worry
dad said trip uk cancelled due da swine flu ooops sorry abang,worry
asks karma points please,neutral
hahaha alright,love
wake earlier thought dad wants take food noooo,hate
someone take la need see lemon tree,joy
um dont think text msgs subject line fail,sadness
tummy ache,sadness
math quiz meow allergies meow allergies,surprise
wants see friends,love
youre far away dont know,worry
la said wipe slate clean jelly,neutral
whos one always working oh yeah still,joy
unless invite comes beta key im going much help,neutral
live,neutral
im sorry andrew wish something could,sadness
finsh work eleven even allowd cauz really dont want lol,sadness
anybody im sooo bored,empty
im chasetons either please dont die heart really sad,sadness
interesting show say least recap tomorrow first must sleep work,joy
feels like hot box matter go still feels like hot box ice cream isnt working n e,worry
sad please get better grandma,worry
uuuugh hate everything,worry
gosh todays weather horriterrible extreme hotness im losing lot water weight nothing,worry
taking moment reflecti want annonymity backfb safe say anything someone else another friend,worry
hey peter thanks follow many sydney pastors tweet shame bris pastors twitter behind,surprise
ï¿½ cant im sister house ï¿½net tonite,neutral
damn hi facebook whats wrong cant add photos,neutral
aku kbangun gara mimpi bad dream,surprise
